full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
David de Gea,28,Premier League,Goalkeeper,Manchester United,3420,Spain,38,0,0,0,0,7,1,0
Matteo Darmian,29,Premier League,Defender,Manchester United,443,Italy,6,0,0,0,0,1,0,0
Victor Nilsson Lindelöf,25,Premier League,Defender,Manchester United,2602,Sweden,30,1,1,0,1,6,1,0
Luke Shaw,24,Premier League,Defender,Manchester United,2592,England,29,1,1,0,4,6,11,0
Eric Bertrand Bailly,25,Premier League,Defender,Manchester United,637,Côte d'Ivoire,12,0,0,0,0,3,1,1
Juan Mata,31,Premier League,Midfielder,Manchester United,1294,Spain,22,3,3,0,2,4,3,0
Paul Pogba,26,Premier League,Midfielder,Manchester United,3011,France,35,13,10,3,9,7,6,0
Frederico Rodrigues Santos,26,Premier League,Midfielder,Manchester United,1045,Brazil,17,1,1,0,1,0,2,0
Andreas Pereira,23,Premier League,Midfielder,Manchester United,595,Brazil,15,1,1,0,1,1,5,0
Alexis Sanchez,30,Premier League,Forward,Manchester United,877,Chile,20,1,1,0,3,6,3,0
Marcus Rashford,21,Premier League,Forward,Manchester United,2362,England,33,10,4,6,6,6,4,1
Romelu Lukaku,26,Premier League,Forward,Manchester United,2130,Belgium,32,12,4,8,0,7,4,0
Scott McTominay,22,Premier League,Midfielder,Manchester United,861,England,16,2,0,2,0,3,1,0
Marouane Fellaini,31,Premier League,Midfielder,Manchester United,744,Belgium,14,0,0,0,1,2,1,0
Anthony Martial,23,Premier League,Forward,Manchester United,1623,France,27,10,4,6,2,5,2,0
Chris Smalling,29,Premier League,Defender,Manchester United,2128,England,24,1,0,1,0,4,1,0
Lee Grant,36,Premier League,Goalkeeper,Manchester United,0,England,0,0,0,0,0,0,0,0
Ashley Young,34,Premier League,Midfielder,Manchester United,2568,England,30,2,1,1,2,4,10,1
Kasper Schmeichel,32,Premier League,Goalkeeper,Leicester City,3420,Denmark,38,0,0,0,0,10,3,0
Wes Morgan,35,Premier League,Defender,Leicester City,1926,Jamaica,22,3,1,2,0,6,5,2
Harry Maguire,26,Premier League,Defender,Leicester City,2599,England,31,3,0,3,0,7,7,1
Ricardo Domingos Barbosa Pereira,26,Premier League,Defender,Leicester City,3125,Portugal,35,2,2,0,6,10,7,0
Ben Chilwell,22,Premier League,Defender,Leicester City,3240,England,36,0,0,0,4,10,4,0
Adrien Sebastian Perruchet Silva,30,Premier League,Midfielder,Leicester City,88,Portugal,2,0,0,0,0,1,0,0
Daniel Amartey,24,Premier League,Midfielder,Leicester City,640,Ghana,9,0,0,0,0,2,2,0
Onyinye Wilfred Ndidi,22,Premier League,Midfielder,Leicester City,3299,Nigeria,38,2,2,0,0,10,8,0
Demarai Gray,23,Premier League,Midfielder,Leicester City,1992,England,34,4,1,3,1,8,2,0
James Maddison,22,Premier League,Midfielder,Leicester City,2850,England,36,7,3,4,7,8,5,1
Kelechi Iheanacho,23,Premier League,Forward,Leicester City,926,Nigeria,30,1,1,0,3,6,2,0
Jamie Vardy,32,Premier League,Forward,Leicester City,2735,England,34,18,8,10,4,10,4,1
Rachid Ghezzal,27,Premier League,Forward,Leicester City,738,Algeria,19,1,1,0,0,3,3,0
Vicente Iborra De La Fuente,31,Premier League,Midfielder,Leicester City,226,Spain,8,0,0,0,0,3,0,0
Jonny Evans,31,Premier League,Defender,Leicester City,1995,Northern Ireland,24,1,1,0,0,8,2,0
Marc Albrighton,29,Premier League,Midfielder,Leicester City,1626,England,27,2,1,1,2,9,3,0
Danny Ward,26,Premier League,Goalkeeper,Leicester City,0,Wales,0,0,0,0,0,0,0,0
Christian Fuchs,33,Premier League,Defender,Leicester City,206,Austria,3,0,0,0,0,0,0,0
Martin Dúbravka,30,Premier League,Goalkeeper,Newcastle United,3420,Slovakia,38,0,0,0,0,11,1,0
Ciaran Clark,30,Premier League,Defender,Newcastle United,857,Republic of Ireland,11,3,1,2,0,2,1,0
Jamal Lascelles,25,Premier League,Defender,Newcastle United,2748,England,32,0,0,0,1,11,4,0
Paul Dummett,28,Premier League,Defender,Newcastle United,1986,Wales,26,0,0,0,0,9,1,0
DeAndre Yedlin,26,Premier League,Defender,Newcastle United,2475,USA,29,1,0,1,2,6,7,1
Jonjo Shelvey,27,Premier League,Midfielder,Newcastle United,944,England,16,1,0,1,1,5,1,0
Mohamed Diamé,32,Premier League,Midfielder,Newcastle United,2165,Senegal,29,0,0,0,0,9,3,0
Matt Ritchie,30,Premier League,Midfielder,Newcastle United,2940,Scotland,36,2,1,1,8,11,9,0
Robert Kenedy Nunes do Nascimento,23,Premier League,Midfielder,Newcastle United,1344,Brazil,25,1,0,1,1,8,1,0
José Luis Sanmartín Mato,29,Premier League,Forward,Newcastle United,586,Spain,16,2,2,0,0,4,1,0
